Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
GLENMARK,Glenmark Pharmaceuticals Limited,"27,04,632.38"
HINDCOPPER,Hindustan Copper Limited,"26,88,810.29"
GODREJIND,Godrej Industries Limited,"26,34,436.70"
NH,Narayana Hrudayalaya Ltd.,"26,23,584.00"
BLUESTARCO,Blue Star Limited,"26,18,915.55"
EXIDEIND,Exide Industries Limited,"25,88,675.00"
ENDURANCE,Endurance Technologies Limited,"25,69,910.23"
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,"25,61,334.98"
PAYTM,One 97 Communications Limited,"25,58,493.56"
ANGELONE,Angel One Limited,"25,58,049.32"
MOTILALOFS,Motilal Oswal Financial Services Limited,"24,82,042.70"
ITI,ITI Limited,"24,28,161.29"
360ONE,360 ONE WAM LIMITED,"24,23,681.83"
CARBORUNIV,Carborundum Universal Limited,"24,12,715.39"
AARTIIND,Aarti Industries Limited,"24,12,645.60"
SUNTV,Sun TV Network Limited,"23,65,492.93"
KIOCL,KIOCL Limited,"23,63,544.01"
ISEC,ICICI Securities Limited,"23,52,878.72"
RADICO,Radico Khaitan Limited,"23,10,266.53"
SUNDRMFAST,Sundram Fasteners Limited,"22,97,963.85"
CREDITACC,CREDITACCESS GRAMEEN LIMITED,"22,96,679.15"
COCHINSHIP,Cochin Shipyard Limited,"22,93,538.24"
HATSUN,Hatsun Agro Product Limited,"22,53,098.73"
MANYAVAR,Vedant Fashions Limited,"22,50,176.87"
CYIENT,Cyient Limited,"22,12,609.82"
GET&D,GE T&D India Limited,"21,71,914.73"
BRIGADE,Brigade Enterprises Limited,"21,61,465.59"
TIMKEN,Timken India Limited,"21,50,879.70"
NBCC,NBCC (India) Limited,"21,40,200.00"
JBMA,JBM Auto Limited,"21,33,355.65"
GILLETTE,Gillette India Limited,"21,24,425.81"
KANSAINER,Kansai Nerolac Paints Limited,"21,19,975.45"
LAURUSLABS,Laurus Labs Limited,"21,14,632.54"
GRINDWELL,Grindwell Norton Limited,"21,04,731.84"
FIVESTAR,Five-Star Business Finance Limited,"21,02,820.19"
SWANENERGY,Swan Energy Limited,"21,00,004.41"
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,"20,87,146.49"
IRCON,Ircon International Limited,"20,65,842.82"
SKFINDIA,SKF India Limited,"20,55,951.85"
BSOFT,BIRLASOFT LIMITED,"20,47,455.66"
ASTERDM,Aster DM Healthcare Limited,"20,44,506.95"
RELAXO,Relaxo Footwears Limited,"20,34,575.06"
SONATSOFTW,Sonata Software Limited,"20,25,648.66"
GSPL,Gujarat State Petronet Limited,"20,11,413.56"
RATNAMANI,Ratnamani Metals & Tubes Limited,"19,58,510.66"
ABFRL,Aditya Birla Fashion and Retail Limited,"19,50,971.59"
APLLTD,Alembic Pharmaceuticals Limited,"19,35,753.65"
PFIZER,Pfizer Limited,"19,19,094.48"
RAMCOCEM,The Ramco Cements Limited,"19,15,267.89"
SIGNATURE,Signatureglobal (India) Limited,"19,09,821.31"
PEL,Piramal Enterprises Limited,"19,08,181.14"
ELGIEQUIP,Elgi Equipments Limited,"19,06,841.55"
LALPATHLAB,Dr. Lal Path Labs Ltd.,"18,88,978.57"
EMAMILTD,Emami Limited,"18,74,112.75"
SANOFI,Sanofi India Limited,"18,68,693.15"
JYOTICNC,Jyoti CNC Automation Limited,"18,68,167.02"
TRIDENT,Trident Limited,"18,62,571.80"
CASTROLIND,Castrol India Limited,"18,39,273.07"
KAJARIACER,Kajaria Ceramics Limited,"18,39,194.48"
KAYNES,Kaynes Technology India Limited,"18,35,695.10"
CENTURYTEX,Century Textiles & Industries Limited,"18,20,527.89"
CHALET,Chalet Hotels Limited,"18,14,951.91"
DEVYANI,Devyani International Limited,"18,14,214.68"
CDSL,Central Depository Services (India) Limited,"17,88,987.75"
KEC,KEC International Limited,"17,84,836.01"
SCHNEIDER,Schneider Electric Infrastructure Limited,"17,71,880.45"
IDFC,IDFC Limited,"17,71,182.77"
BATAINDIA,Bata India Limited,"17,53,372.70"
CIEINDIA,CIE Automotive India Limited,"17,51,895.46"
KPIL,Kalpataru Projects International Limited,"17,37,930.16"
RRKABEL,R R Kabel Limited,"17,36,224.32"
SUMICHEM,Sumitomo Chemical India Limited,"17,35,779.30"
NATCOPHARM,Natco Pharma Limited,"17,29,861.39"
SUVENPHAR,Suven Pharmaceuticals Limited,"17,23,659.32"
CROMPTON,Crompton Greaves Consumer Electricals Limited,"17,20,311.17"
TRITURBINE,Triveni Turbine Limited,"17,06,045.39"
PPLPHARMA,Piramal Pharma Limited,"17,05,280.14"
INOXWIND,Inox Wind Limited,"17,00,147.36"
ACE,Action Construction Equipment Limited,"16,98,900.42"
ATUL,Atul Limited,"16,90,103.95"
CGCL,Capri Global Capital Limited,"16,83,702.48"
TVSHLTD,TVS Holdings Limited,"16,51,920.94"
SHYAMMETL,Shyam Metalics and Energy Limited,"16,50,646.21"
NUVAMA,Nuvama Wealth Management Limited,"16,49,150.42"
KIMS,Krishna Institute of Medical Sciences Limited,"16,47,972.20"
CELLO,Cello World Limited,"16,42,668.20"
PNBHOUSING,PNB Housing Finance Limited,"16,35,684.97"
REDINGTON,Redington Limited,"16,29,608.80"
LAXMIMACH,Lakshmi Machine Works Limited,"16,22,993.41"
JYOTHYLAB,Jyothy Labs Limited,"16,15,534.43"
CESC,CESC Limited,"16,12,556.43"
GODFRYPHLP,Godfrey Phillips India Limited,"16,06,196.18"
NSLNISP,NMDC Steel Limited,"16,03,041.40"
RITES,RITES Limited,"15,95,123.93"
CONCORDBIO,Concord Biotech Limited,"15,91,003.23"
INDIAMART,Indiamart Intermesh Limited,"15,86,718.37"
AEGISCHEM,Aegis Logistics Limited,"15,67,741.50"
OLECTRA,Olectra Greentech Limited,"15,50,135.76"
WHIRLPOOL,Whirlpool of India Limited,"15,49,675.97"
