Symbol,Company Name,"Market capitalization as on March 28, 2024
(In lakhs)"
JSLL,Jeena Sikho Lifecare Limited,"2,09,235.42"
VISHNU,Vishnu Chemicals Limited,"2,09,162.81"
TTKHLTCARE,TTK Healthcare Limited,"2,08,627.30"
MTNL,Mahanagar Telephone Nigam Limited,"2,06,640.00"
RPTECH,Rashi Peripherals Limited,"2,06,101.20"
RPSGVENT,RPSG VENTURES LIMITED,"2,06,012.53"
ORIENTHOT,Oriental Hotels Limited,"2,05,924.85"
GTLINFRA,GTL Infrastructure Limited,"2,04,912.34"
WEBELSOLAR,Websol Energy System Limited,"2,04,827.40"
JASH,Jash Engineering Limited,"2,03,847.64"
UGROCAP,Ugro Capital Limited,"2,03,758.42"
SDBL,Som Distilleries & Breweries Limited,"2,03,658.90"
HPL,HPL Electric & Power Limited,"2,03,511.04"
TCPLPACK,TCPL Packaging Limited,"2,03,280.35"
ADFFOODS,ADF Foods Limited,"2,03,192.72"
HMT,HMT Limited,"2,02,483.85"
MOL,Meghmani Organics Limited,"2,01,671.17"
MUFIN,Mufin Green Finance Limited,"2,01,352.06"
THEMISMED,Themis Medicare Limited,"2,01,199.70"
PANAMAPET,Panama Petrochem Limited,"2,01,141.21"
MANGLMCEM,Mangalam Cement Limited,"2,01,005.25"
SIGNPOST,Signpost India Limited,"2,00,918.55"
HITECH,Hi-Tech Pipes Limited,"2,00,661.44"
MAYURUNIQ,Mayur Uniquoters Ltd,"2,00,292.00"
SIYSIL,Siyaram Silk Mills Limited,"1,99,129.32"
JINDALPOLY,Jindal Poly Films Limited,"1,98,593.28"
KRSNAA,Krsnaa Diagnostics Limited,"1,98,452.88"
DEEPINDS,Deep Industries Limited,"1,97,440.00"
PNBGILTS,PNB Gilts Limited,"1,97,291.11"
HIL,HIL Limited,"1,96,421.57"
RICOAUTO,Rico Auto Industries Limited,"1,96,298.54"
BFINVEST,BF Investment Limited,"1,96,022.34"
GANDHAR,Gandhar Oil Refinery (India) Limited,"1,95,837.51"
IFGLEXPOR,IFGL Refractories Limited,"1,95,819.60"
BARBEQUE,Barbeque Nation Hospitality Limited,"1,94,513.85"
ANDHRAPAP,ANDHRA PAPER LIMITED,"1,93,182.96"
IRMENERGY,IRM Energy Limited,"1,92,693.06"
RIIL,Reliance Industrial Infrastructure Limited,"1,92,592.95"
SHRIRAMPPS,Shriram Properties Limited,"1,92,553.57"
GLOBUSSPR,Globus Spirits Limited,"1,91,812.40"
DREDGECORP,Dredging Corporation of India Limited,"1,90,288.00"
RUPA,Rupa & Company Limited,"1,89,864.89"
SJS,S.J.S. Enterprises Limited,"1,89,532.96"
PARACABLES,Paramount Communications Limited,"1,88,618.28"
EXPLEOSOL,Expleo Solutions Limited,"1,88,324.27"
PRECAM,Precision Camshafts Limited,"1,87,644.52"
BHARATWIRE,Bharat Wire Ropes Limited,"1,87,251.51"
GTPL,GTPL Hathway Limited,"1,87,250.96"
VPRPL,Vishnu Prakash R Punglia Limited,"1,86,779.03"
ADORWELD,Ador Welding Limited,"1,86,434.98"
DPABHUSHAN,D. P. Abhushan Limited,"1,86,117.31"
FOSECOIND,Foseco India Limited,"1,85,980.07"
SCILAL,Shipping Corporation of India Land and Assets Limited,"1,85,853.80"
SESHAPAPER,Seshasayee Paper and Boards Limited,"1,85,578.00"
JINDRILL,Jindal Drilling And Industries Limited,"1,84,696.58"
YASHO,Yasho Industries Limited,"1,84,558.75"
GREENPOWER,Orient Green Power Company Limited,"1,83,395.38"
NITINSPIN,Nitin Spinners Limited,"1,82,630.67"
GOLDIAM,Goldiam International Limited,"1,82,512.86"
PIXTRANS,Pix Transmissions Limited,"1,81,801.04"
SIGACHI,Sigachi Industries Limited,"1,80,176.63"
ARMANFIN,Arman Financial Services Limited,"1,79,568.44"
MONARCH,Monarch Networth Capital Limited,"1,79,389.90"
AMRUTANJAN,Amrutanjan Health Care Limited,"1,79,376.00"
FMGOETZE,Federal-Mogul Goetze (India) Limited.,"1,79,191.09"
PENIND,Pennar Industries Limited,"1,79,073.65"
GEPIL,GE Power India Limited,"1,78,522.55"
PVSL,Popular Vehicles and Services Limited,"1,77,639.50"
JUBLINDS,Jubilant Industries Limited,"1,76,744.63"
63MOONS,63 moons technologies limited,"1,75,835.70"
CANTABIL,Cantabil Retail India Limited,"1,74,636.23"
RAMCOIND,Ramco Industries Limited,"1,74,486.21"
JYOTISTRUC,Jyoti Structures Limited,"1,73,961.65"
VSSL,Vardhman Special Steels Limited,"1,72,776.30"
HERCULES,Hercules Hoists Limited,"1,72,464.00"
NSIL,Nalwa Sons Investments Limited,"1,71,781.54"
HLVLTD,HLV LIMITED,"1,71,737.20"
SURYODAY,Suryoday Small Finance Bank Limited,"1,70,819.00"
TNPL,Tamil Nadu Newsprint & Papers Limited,"1,70,707.94"
SUBEXLTD,Subex Limited,"1,68,881.88"
RISHABH,Rishabh Instruments Limited,"1,68,798.30"
SERVOTECH,Servotech Power Systems Limited,"1,68,317.73"
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,"1,67,361.79"
ATFL,Agro Tech Foods Limited,"1,66,198.38"
OMAXE,Omaxe Limited,"1,65,616.44"
EVERESTIND,Everest Industries Limited,"1,64,449.81"
PREMEXPLN,Premier Explosives Limited,"1,63,616.82"
GNA,GNA Axles Limited,"1,63,351.69"
GOKULAGRO,Gokul Agro Resources Limited,"1,61,043.58"
TALBROAUTO,Talbros Automotive Components Limited,"1,60,801.83"
DCMSRIND,DCM Shriram Industries Limited,"1,59,369.68"
NELCO,NELCO Limited,"1,58,393.92"
KICL,Kalyani Investment Company Limited,"1,58,272.90"
MOTISONS,Motisons Jewellers Limited,"1,57,562.82"
5PAISA,5Paisa Capital Limited,"1,57,484.55"
KIRIINDUS,Kiri Industries Limited,"1,57,109.49"
CAPITALSFB,Capital Small Finance Bank Limited,"1,57,108.31"
INDRAMEDCO,Indraprastha Medical Corporation Limited,"1,57,081.69"
AEROFLEX,Aeroflex Industries Limited,"1,56,994.93"
SIRCA,Sirca Paints India Limited,"1,56,013.25"
SHANKARA,Shankara Building Products Limited,"1,55,474.55"
FAIRCHEMOR,Fairchem Organics Limited,"1,54,974.78"
BLKASHYAP,B. L. Kashyap and Sons Limited,"1,54,651.84"
TFCILTD,Tourism Finance Corporation of India Limited,"1,54,536.89"
SADHNANIQ,Sadhana Nitrochem Limited,"1,54,164.48"
INDNIPPON,India Nippon Electricals Limited,"1,53,972.72"
GVKPIL,GVK Power & Infrastructure Limited,"1,53,915.50"
RANEHOLDIN,Rane Holdings Limited,"1,53,871.95"
GEOJITFSL,Geojit Financial Services Limited,"1,53,530.76"
DCW,DCW Limited,"1,51,709.68"
SBGLP,Suratwwala Business Group Limited,"1,51,583.31"
BCLIND,Bcl Industries Limited,"1,51,149.90"
SMSPHARMA,SMS Pharmaceuticals Limited,"1,50,892.24"
DPSCLTD,DPSC Limited,"1,49,963.60"
CAMLINFINE,Camlin Fine Sciences Limited,"1,49,453.42"
CONTROLPR,Control Print Limited,"1,48,722.18"
REFEX,Refex Industries Limited,"1,48,534.43"
KRISHANA,Krishana Phoschem Limited,"1,47,778.62"
EKC,Everest Kanto Cylinder Limited,"1,47,384.79"
WHEELS,Wheels India Limited,"1,46,097.20"
JITFINFRA,JITF Infralogistics Limited,"1,46,048.46"
V2RETAIL,V2 Retail Limited,"1,46,036.20"
SALZERELEC,Salzer Electronics Limited,"1,45,736.87"
UNIVCABLES,Universal Cables Limited,"1,45,681.68"
SPAL,S. P. Apparels Limited,"1,45,662.54"
EPACK,EPACK Durable Limited,"1,44,991.32"
SWELECTES,Swelect Energy Systems Limited,"1,44,667.63"
GPTHEALTH,GPT Healthcare Limited,"1,44,662.65"
HITECHGEAR,The Hi-Tech Gears Limited,"1,44,488.75"
INSECTICID,Insecticides (India) Limited,"1,43,934.28"
PENINLAND,Peninsula Land Limited,"1,43,700.42"
SHREDIGCEM,Shree Digvijay Cement Co.Ltd,"1,43,279.39"
SPIC,Southern Petrochemicals Industries Corporation  Limited,"1,43,159.16"
NIITLTD,NIIT Limited,"1,42,628.87"
BIGBLOC,Bigbloc Construction Limited,"1,42,425.20"
ORIANA,Oriana Power Limited,"1,42,334.89"
SPCENET,Spacenet Enterprises India Limited,"1,42,053.83"
SHALPAINTS,Shalimar Paints Limited,"1,39,044.27"
KAMDHENU,Kamdhenu Limited,"1,39,014.12"
STOVEKRAFT,Stove Kraft Limited,"1,38,668.65"
RKSWAMY,R K Swamy Limited,"1,38,408.59"
NAVKARCORP,Navkar Corporation Limited,"1,38,176.61"
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,"1,36,412.03"
DHAMPURSUG,Dhampur Sugar Mills Limited,"1,35,875.41"
NDTV,New Delhi Television Limited,"1,35,744.25"
ARIHANTSUP,Arihant Superstructures Limited,"1,35,498.69"
VASCONEQ,Vascon Engineers Limited,"1,35,446.07"
KUANTUM,Kuantum Papers Limited,"1,34,822.31"
APTECHT,Aptech Limited,"1,34,381.05"
INDIANHUME,Indian Hume Pipe Company Limited,"1,34,180.47"
ROSSELLIND,Rossell India Limited,"1,33,803.64"
AHL,Abans Holdings Limited,"1,33,538.66"
SOLARA,Solara Active Pharma Sciences Limited,"1,33,528.15"
SUMMITSEC,Summit Securities Limited,"1,33,219.76"
ALICON,Alicon Castalloy Limited,"1,32,737.39"
KSOLVES,Ksolves India Limited,"1,32,662.71"
IGPL,IG Petrochemicals Limited,"1,32,648.82"
STEELCAS,Steelcast Limited,"1,32,349.36"
POKARNA,Pokarna Limited,"1,32,092.54"
ATL,Allcargo Terminals Limited,"1,32,061.34"
ATULAUTO,Atul Auto Limited,"1,32,012.84"
GANESHBE,Ganesh Benzoplast Limited,"1,31,956.61"
COSMOFIRST,COSMO FIRST LIMITED,"1,31,445.51"
AWHCL,Antony Waste Handling Cell Limited,"1,31,040.16"
DWARKESH,Dwarikesh Sugar Industries Limited,"1,30,869.52"
HARIOMPIPE,Hariom Pipe Industries Limited,"1,30,816.75"
SMCGLOBAL,SMC Global Securities Limited,"1,30,717.95"
MADRASFERT,Madras Fertilizers Limited,"1,30,492.05"
DSSL,Dynacons Systems & Solutions Limited,"1,30,459.48"
STEELXIND,STEEL EXCHANGE INDIA LIMITED,"1,30,246.02"
MONTECARLO,Monte Carlo Fashions Limited,"1,29,876.01"
E2E,E2E Networks Limited,"1,29,769.50"
VERTOZ,Vertoz Advertising Limited,"1,29,707.46"
GIRIRAJ,Giriraj Civil Developers Limited,"1,29,374.02"
NGLFINE,NGL Fine-Chem Limited,"1,29,367.82"
IGARASHI,Igarashi Motors India Limited,"1,29,142.12"
JAYBARMARU,Jay Bharat Maruti Limited,"1,27,951.50"
AVTNPL,AVT Natural Products Limited,"1,27,918.56"
SKYGOLD,Sky Gold Limited,"1,26,842.00"
TVTODAY,TV Today Network Limited,"1,26,288.62"
XCHANGING,Xchanging Solutions Limited,"1,25,886.20"
ANDHRSUGAR,The Andhra Sugars Limited,"1,25,709.07"
ACLGATI,Allcargo Gati Limited,"1,25,107.07"
KOPRAN,Kopran Limited,"1,24,677.79"
ENIL,Entertainment Network (India) Limited,"1,24,014.58"
VERANDA,Veranda Learning Solutions Limited,"1,23,621.42"
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,"1,22,924.59"
OMINFRAL,OM INFRA LIMITED,"1,22,739.20"
ZOTA,Zota Health Care LImited,"1,22,645.57"
SNOWMAN,Snowman Logistics Limited,"1,22,475.50"
RAJRILTD,Raj Rayon Industries Limited,"1,22,060.11"
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,"1,21,751.23"
KITEX,Kitex Garments Limited,"1,20,996.75"
TEXINFRA,Texmaco Infrastructure & Holdings Limited,"1,20,927.83"
IMPAL,India Motor Parts and Accessories Limited,"1,20,906.24"
HIMATSEIDE,Himatsingka Seide Limited,"1,20,314.65"
DOLATALGO,Dolat Algotech Limited,"1,20,120.00"
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,"1,20,115.10"
AGARIND,Agarwal Industrial Corporation Limited,"1,19,722.14"
REPRO,Repro India Limited,"1,19,289.42"
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,"1,19,073.63"
UTTAMSUGAR,Uttam Sugar Mills Limited,"1,19,010.00"
CENTRUM,Centrum Capital Limited,"1,18,777.35"
HESTERBIO,Hester Biosciences Limited,"1,18,623.98"
BETA,Beta Drugs Limited,"1,18,610.13"
MARINE,Marine Electricals (India) Limited,"1,18,311.06"
BLISSGVS,Bliss GVS Pharma Limited,"1,18,143.59"
MSPL,MSP Steel & Power Limited,"1,17,936.99"
LINCOLN,Lincoln Pharmaceuticals Limited,"1,17,384.22"
SAURASHCEM,Saurashtra Cement Limited,"1,17,359.78"
MATRIMONY,Matrimony.Com Limited,"1,17,056.63"
HARDWYN,Hardwyn India Limited,"1,16,003.09"
GMBREW,GM Breweries Limited,"1,15,879.60"
SURAJEST,Suraj Estate Developers Limited,"1,15,693.78"
SICALLOG,Sical Logistics Limited,"1,15,164.63"
TREL,Transindia Real Estate Limited,"1,13,634.18"
PAKKA,PAKKA LIMITED,"1,13,626.66"
HERANBA,Heranba Industries Limited,"1,13,498.20"
RAMRAT,Ram Ratna Wires Limited,"1,12,838.00"
DVL,Dhunseri Ventures Limited,"1,12,604.58"
NACLIND,NACL Industries Limited,"1,12,032.66"
RML,Rane (Madras) Limited,"1,11,888.77"
NELCAST,Nelcast Limited,"1,11,796.54"
KOKUYOCMLN,Kokuyo Camlin Limited,"1,11,337.22"
ALLSEC,Allsec Technologies Limited,"1,11,331.21"
MACPOWER,Macpower CNC Machines Limited,"1,10,716.04"
INNOVANA,Innovana Thinklabs Limited,"1,10,700.00"
ROTO,Roto Pumps Limited,"1,10,696.12"
STERTOOLS,Sterling Tools Limited,"1,10,432.22"
MUKKA,Mukka Proteins Limited,"1,09,500.00"
TIL,TIL Limited,"1,08,861.06"
CSLFINANCE,CSL Finance Limited,"1,08,695.88"
GICHSGFIN,GIC Housing Finance Limited,"1,08,456.05"
SATIA,Satia Industries Limited,"1,08,300.00"
MUFTI,Credo Brands Marketing Limited,"1,07,651.40"
CREST,Crest Ventures Limited,"1,06,616.38"
AVADHSUGAR,Avadh Sugar & Energy Limited,"1,06,307.82"
WINDLAS,Windlas Biotech Limited,"1,06,135.13"
KRYSTAL,Krystal Integrated Services Limited,"1,05,970.27"
YUKEN,Yuken India Limited,"1,05,943.50"
ASIANENE,Asian Energy Services Limited,"1,05,818.34"
SPORTKING,Sportking India Limited,"1,05,805.97"
KOTYARK,Kotyark Industries Limited,"1,05,781.11"
CLSEL,Chaman Lal Setia Exports Limited,"1,05,303.64"
KAMOPAINTS,Kamdhenu Ventures Limited,"1,05,120.31"
HUBTOWN,Hubtown Limited,"1,05,115.67"
VALIANTORG,Valiant Organics Limited,"1,05,005.79"
INDOTECH,Indo Tech Transformers Limited,"1,04,968.08"
COFFEEDAY,Coffee Day Enterprises Limited,"1,04,886.48"
SYNCOMF,Syncom Formulations (India) Limited,"1,04,810.00"
NDRAUTO,Ndr Auto Components Limited,"1,04,809.94"
DHANBANK,Dhanlaxmi Bank Limited,"1,04,367.48"
ONEPOINT,One Point One Solutions Limited,"1,03,875.52"
HIRECT,Hind Rectifiers Limited,"1,03,469.83"
KABRAEXTRU,Kabra Extrusion Technik Limited,"1,02,837.62"
REMUS,Remus Pharmaceuticals Limited,"1,01,627.43"
INDORAMA,Indo Rama Synthetics (India) Limited,"1,01,442.46"
GULPOLY,Gulshan Polyols Limited,"1,01,133.91"
HEUBACHIND,Heubach Colorants India Limited,"1,00,728.97"
OAL,Oriental Aromatics Limited,"1,00,304.48"
CREATIVE,Creative Newtech Limited,"1,00,140.71"
ONWARDTEC,Onward Technologies Limited,"99,671.12"
URJA,Urja Global Limited,"99,310.69"
PVP,PVP Ventures Limited,"99,213.80"
ROHLTD,Royal Orchid Hotels Limited,"99,059.88"
BLAL,BEML Land Assets Limited,"98,530.89"
SATINDLTD,Sat Industries Limited,"98,497.04"
VIMTALABS,Vimta Labs Limited,"98,404.13"
ZUARIIND,ZUARI INDUSTRIES LIMITED,"97,801.41"
GSLSU,Global Surfaces Limited,"97,796.05"
NAHARSPING,Nahar Spinning Mills Limited,"96,853.37"
MANALIPETC,Manali Petrochemicals Limited,"96,663.57"
SASTASUNDR,Sastasundar Ventures Limited,"96,640.30"
DLINKINDIA,D-Link (India) Limited,"96,431.17"
RGL,Renaissance Global Limited,"95,987.23"
FOCUS,Focus Lighting and Fixtures Limited,"95,344.61"
GANDHITUBE,Gandhi Special Tubes Limited,"94,654.70"
KELLTONTEC,Kellton Tech Solutions Limited,"94,429.02"
PLATIND,Platinum Industries Limited,"94,141.23"
KERNEX,Kernex Microsystems (India) Limited,"93,852.76"
RAMCOSYS,Ramco Systems Limited,"93,730.16"
WALCHANNAG,Walchandnagar Industries Limited,"93,084.94"
CHEMFAB,Chemfab Alkalis Limited,"92,785.90"
UNIENTER,Uniphos Enterprises Limited,"92,774.16"
SARVESHWAR,Sarveshwar Foods Limited,"92,498.11"
BODALCHEM,Bodal Chemicals Limited,"92,392.44"
SEMAC,SEMAC CONSULTANTS LIMITED,"92,075.76"
VISAKAIND,Visaka Industries Limited,"91,934.66"
LIKHITHA,Likhitha Infrastructure Limited,"91,681.80"
WEL,Wonder Electricals Limited,"91,426.96"
ASAL,Automotive Stampings and Assemblies Limited,"91,053.71"
AMNPLST,Amines & Plasticizers Limited,"91,003.08"
GPTINFRA,GPT Infraprojects Limited,"90,922.84"
NINSYS,NINtec Systems Limited,"90,873.79"
SHIVALIK,Shivalik Rasayan Limited,"89,923.35"
VHL,Vardhman Holdings Limited,"89,549.38"
OWAIS,Owais Metal And Mineral Processing Limited,"89,366.49"
TRACXN,Tracxn Technologies Limited,"88,993.58"
EXCELINDUS,Excel Industries Limited,"88,950.22"
INFOBEAN,InfoBeans Technologies Limited,"88,944.40"
SANDESH,The Sandesh Limited,"88,796.88"
EIMCOELECO,Eimco Elecon (India) Limited,"88,149.58"
CENTENKA,Century Enka Limited,"87,872.14"
HPAL,HP Adhesives Limited,"87,694.43"
MICEL,MIC Electronics Limited,"87,471.31"
FAZE3Q,Faze Three Limited,"87,341.69"
ORIENTPPR,Orient Paper & Industries Limited,"87,314.47"
MAXIND,Max India Limited,"87,248.12"
GRPLTD,GRP Limited,"86,864.64"
DENORA,De Nora India Limited,"86,259.99"
ASALCBR,Associated Alcohols & Breweries Ltd.,"85,351.90"
GKWLIMITED,GKW Limited,"84,831.70"
VLSFINANCE,VLS Finance Limited,"84,780.93"
SPECIALITY,Speciality Restaurants Limited,"84,724.02"
CHEMCON,Chemcon Speciality Chemicals Limited,"84,616.92"
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,"84,502.41"
PPL,Prakash Pipes Limited,"84,455.71"
NCLIND,NCL Industries Limited,"83,590.20"
HEXATRADEX,Hexa Tradex Limited,"83,309.01"
DECCANCE,Deccan Cements Limited,"82,784.33"
SUTLEJTEX,Sutlej Textiles and Industries Limited,"82,569.62"
SPENCERS,Spencer's Retail Limited,"82,296.71"
BASILIC,Basilic Fly Studio Limited,"82,234.74"
SILVERTUC,Silver Touch Technologies Limited,"81,957.30"
SCHAND,S Chand And Company Limited,"81,915.62"
AGSTRA,AGS Transact Technologies Limited,"81,825.67"
DYCL,Dynamic Cables Limited,"81,726.98"
ALPEXSOLAR,Alpex Solar Limited,"81,325.11"
RADIANTCMS,Radiant Cash Management Services Limited,"81,258.07"
AMBIKCO,Ambika Cotton Mills Limited,"80,968.68"
BAJAJHCARE,Bajaj Healthcare Limited,"80,670.12"
RSWM,RSWM Limited,"80,567.43"
SAKAR,Sakar Healthcare Limited,"80,104.92"
MUNJALAU,Munjal Auto Industries Limited,"79,500.00"
HMVL,Hindustan Media Ventures Limited,"79,123.24"
ELDEHSG,Eldeco Housing And Industries Limited,"78,988.49"
INDOAMIN,Indo Amines Limited,"78,827.78"
DENTALKART,Vasa Denticity Limited,"78,527.47"
VIKASLIFE,Vikas Lifecare Limited,"78,335.68"
RUSHIL,Rushil Decor Limited,"77,329.19"
ADSL,Allied Digital Services Limited,"76,942.79"
BCONCEPTS,Brand Concepts Limited,"76,716.02"
DBOL,Dhampur Bio Organics Limited,"76,511.70"
LINC,Linc Limited,"76,473.32"
RADHIKAJWE,Radhika Jeweltech Limited,"76,287.00"
DHARMAJ,Dharmaj Crop Guard Limited,"75,672.15"
MAGADSUGAR,Magadh Sugar & Energy Limited,"75,650.92"
CHEVIOT,Cheviot Company Limited,"75,520.81"
VINYAS,Vinyas Innovative Technologies Limited,"75,508.36"
BALAJITELE,Balaji Telefilms Limited,"74,979.14"
OSWALGREEN,Oswal Greentech Limited,"74,731.47"
ICEMAKE,Ice Make Refrigeration Limited,"74,669.71"
GFLLIMITED,GFL Limited,"74,478.30"
PANACEABIO,Panacea Biotec Limited,"74,450.28"
STCINDIA,The State Trading Corporation of India Limited,"74,430.00"
TRU,TruCap Finance Limited,"74,289.55"
UGARSUGAR,The Ugar Sugar Works Limited,"74,025.00"
MAANALU,Maan Aluminium Limited,"73,988.09"
NRAIL,N R Agarwal Industries Limited,"73,556.55"
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,"72,850.34"
GHCLTEXTIL,GHCL Textiles Limited,"72,454.03"
ASIANTILES,Asian Granito India Limited,"72,434.95"
DAVANGERE,Davangere Sugar Company Limited,"72,303.91"
POCL,Pondy Oxides & Chemicals Limited,"72,166.63"
KOTHARIPET,Kothari Petrochemicals Limited,"71,939.72"
CONSOFINVT,Consolidated Finvest & Holdings Limited,"71,845.35"
ACL,Andhra Cements Limited,"71,663.84"
ZUARI,Zuari Agro Chemicals Limited,"71,246.26"
GRMOVER,GRM Overseas Limited,"71,190.00"
BEDMUTHA,Bedmutha Industries Limited,"71,125.73"
SUKHJITS,Sukhjit Starch & Chemicals Limited,"70,970.75"
ESTER,Ester Industries Limited,"70,843.00"
WSI,W S Industries (I) Limited,"70,517.38"
TNPETRO,Tamilnadu PetroProducts Limited,"70,177.75"
FOODSIN,Foods & Inns Limited,"70,000.44"
THEINVEST,The Investment Trust Of India Limited,"69,769.48"
DHUNINV,Dhunseri Investments Limited,"69,687.70"
TBZ,Tribhovandas Bhimji Zaveri Limited,"69,433.21"
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,"69,363.45"
KECL,Kirloskar Electric Company Limited,"69,336.29"
EMAMIPAP,Emami Paper Mills Limited,"69,059.67"
ELECTHERM,Electrotherm (India) Limited,"68,683.77"
LOKESHMACH,Lokesh Machines Limited,"68,558.28"
SELAN,Selan Exploration Technology Limited,"68,438.00"
AVG,AVG Logistics Limited,"68,296.57"
SAHANA,Sahana System Limited,"67,866.24"
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,"67,674.51"
NECLIFE,Nectar Lifesciences Limited,"67,614.68"
BIRLACABLE,Birla Cable Limited,"67,605.00"
GOACARBON,Goa Carbon Limited,"67,530.19"
JGCHEM,J.G.Chemicals Limited,"67,497.99"
ANNAPURNA,Annapurna Swadisht Limited,"67,193.80"
3IINFOLTD,3i Infotech Limited,"66,707.50"
WEALTH,Wealth First Portfolio Managers Limited,"66,652.35"
PARSVNATH,Parsvnath Developers Limited,"66,582.72"
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,"66,463.28"
KRITI,Kriti Industries (India) Limited,"66,245.50"
ELIN,Elin Electronics Limited,"66,170.91"
DPWIRES,D P Wires Limited,"66,002.51"
MEGASOFT,Megasoft Limited,"65,987.30"
OCCL,Oriental Carbon & Chemicals Limited,"65,714.83"
MUNJALSHOW,Munjal Showa Limited,"65,111.86"
ZEEMEDIA,Zee Media Corporation Limited,"65,044.58"
SOLEX,Solex Energy Limited,"64,800.00"
MMP,MMP Industries Limited,"64,675.05"
CHEMBOND,Chembond Chemicals Ltd,"64,551.78"
JAYAGROGN,Jayant Agro Organics Limited,"64,515.00"
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,"64,327.75"
MANAKSIA,Manaksia Limited,"64,223.37"
SREEL,Sreeleathers Limited,"64,000.45"
ONMOBILE,OnMobile Global Limited,"63,781.68"
SBC,SBC Exports Limited,"63,650.73"
SPMLINFRA,SPML Infra Limited,"63,450.90"
BHAGERIA,Bhageria Industries Limited,"63,262.24"
VALIANTLAB,Valiant Laboratories Limited,"63,024.23"
MENONBE,Menon Bearings Limited,"62,848.86"
KILITCH,Kilitch Drugs (India) Limited,"62,544.14"
PAVNAIND,Pavna Industries Limited,"62,524.05"
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,"62,412.55"
FCSSOFT,FCS Software Solutions Limited,"62,398.69"
MALLCOM,Mallcom (India) Limited,"62,346.96"
NRL,Nupur Recyclers Limited,"62,256.47"
PHANTOMFX,Phantom Digital Effects Limited,"61,805.73"
APEX,Apex Frozen Foods Limited,"61,718.75"
KAMATHOTEL,Kamat Hotels (I) Limited,"61,582.85"
HTMEDIA,HT Media Limited,"61,561.93"
RUBYMILLS,The Ruby Mills Limited,"61,512.88"
ALBERTDAVD,Albert David Limited,"61,491.82"
KODYTECH,Kody Technolab Limited,"60,585.97"
LGHL,Laxmi Goldorna House Limited,"60,403.28"
PRIMESECU,Prime Securities Limited,"60,402.57"
RBZJEWEL,RBZ Jewellers Limited,"60,300.00"
PLASTIBLEN,Plastiblends India Limited,"60,281.95"
IRISDOREME,Iris Clothings Limited,"60,280.70"
PDMJEPAPER,Pudumjee Paper Products Limited,"59,676.08"
INDSWFTLAB,Ind-Swift Laboratories Limited,"59,175.49"
MIRZAINT,Mirza International Limited,"59,150.41"
STEL,Stel Holdings Limited,"59,066.52"
SAKUMA,Sakuma Exports Limited,"58,874.42"
SIMPLEXINF,Simplex Infrastructures Limited,"58,599.96"
ARROWGREEN,Arrow Greentech Limited,"58,314.88"
VINYLINDIA,Vinyl Chemicals (India) Limited,"57,936.10"
OSWALAGRO,Oswal Agro Mills Limited,"57,519.60"
HINDCOMPOS,Hindustan Composites Limited,"57,480.95"
ARIHANTCAP,Arihant Capital Markets Limited,"57,157.93"
MBLINFRA,MBL Infrastructure Limited,"57,143.65"
DEEPENR,DEEP ENERGY RESOURCES LIMITED,"57,056.00"
ORICONENT,Oricon Enterprises Limited,"57,008.32"
SHREYAS,Shreyas Shipping & Logistics Limited,"56,946.86"
SKMEGGPROD,SKM Egg Products Export (India) Limited,"56,833.31"
ORIENTCER,ORIENT CERATECH LIMITED,"56,828.62"
DIGISPICE,DiGiSPICE Technologies Limited,"56,778.55"
ZODIAC,Zodiac Energy Limited,"56,653.36"
KRISHIVAL,Krishival Foods Limited,"55,960.80"
JETAIRWAYS,Jet Airways (India) Limited,"55,946.71"
RATNAVEER,Ratnaveer Precision Engineering Limited,"55,943.64"
JINDALPHOT,Jindal Photo Limited,"55,902.75"
RADIOCITY,Music Broadcast Limited,"55,828.23"
HCL-INSYS,HCL Infosystems Limited,"55,636.48"
RBL,Rane Brake Lining Limited,"55,129.44"
KHADIM,Khadim India Limited,"55,040.93"
AXITA,Axita Cotton Limited,"54,523.92"
ASMS,Bartronics India Limited,"54,519.24"
BIRLAMONEY,Aditya Birla Money Limited,"54,361.85"
VISHNUINFR,Vishnusurya Projects and Infra Limited,"54,116.67"
VLEGOV,VL E-Governance & IT Solutions Limited,"53,717.32"
BBTCL,B&B Triplewall Containers Limited,"53,595.87"
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,"53,526.82"
GEECEE,GeeCee Ventures Limited,"53,439.92"
RACE,Race Eco Chain Limited,"53,421.08"
RITCO,Ritco Logistics Limited,"53,407.98"
TCLCONS,Tantia Constructions Limited,"53,397.50"
BALAXI,BALAXI PHARMACEUTICALS LIMITED,"53,300.99"
